Name,avg_salary,avg_raptor,season_end,season_start
Bill Cartwright,1534111.111,-4.222222222,1995,1985
Bill Curley,788694.5,-8.25,2001,1994
Bill Garnett,281500,-2.45,1986,1984
Bill Hanzlik,319444,-2.133333333,1989,1985
Bill Laimbeer,986000,0.9125,1994,1984
Bill Martin,150000,-3.1,1986,1985
Bill Walker,562086.25,-3.025,2015,2008
Bill Walton,733333.3333,-2.233333333,1987,1984
Bill Wennington,718181.8182,-3.2,2000,1985
Billy Knight,433000,-5.7,1985,1984
Billy McKinney,125000,-2.8,1986,1985
Billy Owens,2601020,-1.25,2001,1991
Billy Thomas,387713,-7.5,2008,2007
Billy Thompson,298333.3333,-5.933333333,1991,1987
Bimbo Coles,1348533.333,-2.62,2004,1990
Bismack Biyombo,7104182.571,-3.528571429,2018,2011
Bison Dele,2306000,-0.757142857,1999,1991
Blair Rasmussen,1106416.667,-5,1993,1985
Blake Ahearn,125562,0.2,2009,2008
Blake Griffin,15150978.38,3.0125,2018,2010
Blue Edwards,1286111.111,-1.333333333,1999,1990
Bo Kimble,988333.3333,-4.9,1993,1990
Bo Outlaw,2618654.867,-0.126666667,2008,1994
Bob Hansen,328333.3333,-2.116666667,1992,1984
Bob Martin,250000,-8.5,1995,1994
Bob McAdoo,923000,-2.3,1985,1984
Bob McCann,218333.3333,-3.266666667,1996,1991
Bob Sura,3419591.8,0.27,2005,1995
Bob Thornton,190833.3333,-9.866666667,1992,1985
Boban Marjanovic,5066666.667,2.3,2018,2015
Bobby Brown,835753.25,-7.775,2018,2008
Bobby Cattage,70000,-5.7,1986,1985
Bobby Hurley,2584000,-4.6,1998,1993
Bobby Jackson,3057447.333,0.491666667,2009,1997
Bobby Jones,437221.2,-2.5,2008,1984
Bobby Phills,1784111.111,-0.611111111,2000,1991
Bobby Portis,1453720,-2.533333333,2018,2015
Bobby Simmons,3795985.636,-0.9,2012,2001
Bogdan Bogdanovic,9470614,-0.9,2018,2017
Bojan Bogdanovic,5233540.75,-2.75,2018,2014
Boniface N'Dong,398762,-4.1,2006,2005
Bonzi Wells,3948459.9,-0.38,2008,1998
Boris Diaw,5776137.214,-0.607142857,2017,2003
Bostjan Nachbar,1935720,-2.9,2008,2002
Bracey Wright,531485.5,-0.7,2007,2005
Brad Daugherty,1857714.286,1.328571429,1994,1987
Brad Davis,361350,-0.15,1992,1984
Brad Lohaus,682250,-1.9625,1996,1987
Brad Miller,6457107.143,1.142857143,2012,1998
Brad Sellers,540457.5,-4.2,1993,1987
Bradley Beal,10757461.67,1.583333333,2018,2012
Brandan Wright,3898743.667,0.466666667,2018,2007
Branden Dawson,525093,-20.3,2016,2015
Brandon Armstrong,930723.3333,-5.933333333,2004,2001
Brandon Bass,3234292.417,-2.866666667,2017,2005
Brandon Hunter,493488.5,-4.1,2005,2003
Brandon Ingram,5400540,-3.6,2018,2016
Brandon Jennings,4050734,0.15,2018,2009
Brandon Knight,6045501.167,-1.65,2017,2011
